,t,c,id,Products,vA,vB,LargoBox,Volumen
0,1,1,1,12,3,8,1600,0.9411764705882353
1,1,1,2,2,3,8,1000,0.9411764705882353
2,1,1,4,18,3,8,1000,0.9411764705882353
3,1,1,7,2,3,8,1000,0.9411764705882353
4,1,1,9,1,3,8,1000,0.9411764705882353
5,1,1,12,1,3,8,1000,0.9411764705882353
6,1,2,1,12,3,8,1600,0.9411764705882353
7,1,2,2,19,3,8,1000,0.9411764705882353
8,1,2,3,5,3,8,1000,0.9411764705882353
9,2,1,4,16,0,13,1000,0.9558823529411765
10,2,1,6,5,0,13,1000,0.9558823529411765
11,2,1,9,7,0,13,1000,0.9558823529411765
12,2,1,10,5,0,13,1000,0.9558823529411765
13,2,1,11,4,0,13,1000,0.9558823529411765
14,2,1,13,2,0,13,1000,0.9558823529411765
15,2,2,1,12,3,8,1600,0.9411764705882353
16,2,2,2,10,3,8,1000,0.9411764705882353
17,2,2,4,1,3,8,1000,0.9411764705882353
18,2,2,5,2,3,8,1000,0.9411764705882353
19,2,2,7,5,3,8,1000,0.9411764705882353
20,2,2,8,3,3,8,1000,0.9411764705882353
21,2,2,9,3,3,8,1000,0.9411764705882353
22,3,1,2,7,0,13,1000,0.9558823529411765
23,3,1,5,1,0,13,1000,0.9558823529411765
24,3,1,8,5,0,13,1000,0.9558823529411765
25,3,1,9,12,0,13,1000,0.9558823529411765
26,3,1,10,8,0,13,1000,0.9558823529411765
27,3,1,12,6,0,13,1000,0.9558823529411765
28,3,2,3,7,0,13,1000,0.9558823529411765
29,3,2,5,2,0,13,1000,0.9558823529411765
30,3,2,6,14,0,13,1000,0.9558823529411765
31,3,2,8,2,0,13,1000,0.9558823529411765
32,3,2,11,12,0,13,1000,0.9558823529411765
33,3,2,13,2,0,13,1000,0.9558823529411765
34,4,1,2,1,0,13,1000,0.9558823529411765
35,4,1,3,9,0,13,1000,0.9558823529411765
36,4,1,5,6,0,13,1000,0.9558823529411765
37,4,1,7,5,0,13,1000,0.9558823529411765
38,4,1,10,9,0,13,1000,0.9558823529411765
39,4,1,12,9,0,13,1000,0.9558823529411765
40,4,2,1,4,1,12,1600,1.0
41,4,2,2,8,1,12,1000,1.0
42,4,2,4,6,1,12,1000,1.0
43,4,2,5,1,1,12,1000,1.0
44,4,2,8,9,1,12,1000,1.0
45,4,2,11,4,1,12,1000,1.0
46,4,2,13,8,1,12,1000,1.0
47,5,1,4,4,0,13,1000,0.9558823529411765
48,5,1,7,2,0,13,1000,0.9558823529411765
49,5,1,10,14,0,13,1000,0.9558823529411765
50,5,1,11,6,0,13,1000,0.9558823529411765
51,5,1,12,7,0,13,1000,0.9558823529411765
52,5,1,13,6,0,13,1000,0.9558823529411765
53,5,2,2,6,0,13,1000,0.9558823529411765
54,5,2,3,7,0,13,1000,0.9558823529411765
55,5,2,4,7,0,13,1000,0.9558823529411765
56,5,2,5,6,0,13,1000,0.9558823529411765
57,5,2,7,5,0,13,1000,0.9558823529411765
58,5,2,8,5,0,13,1000,0.9558823529411765
59,5,2,9,3,0,13,1000,0.9558823529411765
60,5,3,1,8,2,10,1600,0.9705882352941176
61,5,3,4,3,2,10,1000,0.9705882352941176
62,5,3,6,20,2,10,1000,0.9705882352941176
63,5,3,8,1,2,10,1000,0.9705882352941176
64,5,3,9,6,2,10,1000,0.9705882352941176
65,6,1,2,8,0,13,1000,0.9558823529411765
66,6,1,4,2,0,13,1000,0.9558823529411765
67,6,1,7,2,0,13,1000,0.9558823529411765
68,6,1,8,7,0,13,1000,0.9558823529411765
69,6,1,9,7,0,13,1000,0.9558823529411765
70,6,1,12,10,0,13,1000,0.9558823529411765
71,6,1,13,3,0,13,1000,0.9558823529411765
72,6,2,1,8,2,10,1600,0.9705882352941176
73,6,2,3,6,2,10,1000,0.9705882352941176
74,6,2,5,6,2,10,1000,0.9705882352941176
75,6,2,7,8,2,10,1000,0.9705882352941176
76,6,2,11,6,2,10,1000,0.9705882352941176
77,6,2,13,4,2,10,1000,0.9705882352941176
78,7,1,3,1,0,13,1000,0.9558823529411765
79,7,1,5,6,0,13,1000,0.9558823529411765
80,7,1,6,4,0,13,1000,0.9558823529411765
81,7,1,7,10,0,13,1000,0.9558823529411765
82,7,1,8,8,0,13,1000,0.9558823529411765
83,7,1,11,8,0,13,1000,0.9558823529411765
84,7,1,13,2,0,13,1000,0.9558823529411765
85,7,2,1,8,2,10,1600,0.9705882352941176
86,7,2,3,10,2,10,1000,0.9705882352941176
87,7,2,9,1,2,10,1000,0.9705882352941176
88,7,2,10,9,2,10,1000,0.9705882352941176
89,7,2,12,2,2,10,1000,0.9705882352941176
90,7,2,13,8,2,10,1000,0.9705882352941176
91,7,3,2,7,0,13,1000,0.9558823529411765
92,7,3,3,5,0,13,1000,0.9558823529411765
93,7,3,4,6,0,13,1000,0.9558823529411765
94,7,3,5,4,0,13,1000,0.9558823529411765
95,7,3,6,5,0,13,1000,0.9558823529411765
96,7,3,9,7,0,13,1000,0.9558823529411765
97,7,3,12,5,0,13,1000,0.9558823529411765
98,8,1,1,4,1,12,1600,1.0
99,8,1,4,7,1,12,1000,1.0
100,8,1,5,7,1,12,1000,1.0
101,8,1,6,8,1,12,1000,1.0
102,8,1,7,4,1,12,1000,1.0
103,8,1,8,5,1,12,1000,1.0
104,8,1,9,5,1,12,1000,1.0
105,8,2,1,4,1,12,1600,1.0
106,8,2,2,15,1,12,1000,1.0
107,8,2,3,1,1,12,1000,1.0
108,8,2,5,2,1,12,1000,1.0
109,8,2,12,10,1,12,1000,1.0
110,8,2,13,8,1,12,1000,1.0
111,8,3,3,5,0,13,1000,0.9558823529411765
112,8,3,7,4,0,13,1000,0.9558823529411765
113,8,3,9,4,0,13,1000,0.9558823529411765
114,8,3,10,10,0,13,1000,0.9558823529411765
115,8,3,11,6,0,13,1000,0.9558823529411765
116,8,3,12,4,0,13,1000,0.9558823529411765
117,8,3,13,6,0,13,1000,0.9558823529411765
118,9,1,1,4,1,12,1600,1.0
119,9,1,4,8,1,12,1000,1.0
120,9,1,5,3,1,12,1000,1.0
121,9,1,6,9,1,12,1000,1.0
122,9,1,10,10,1,12,1000,1.0
123,9,1,11,6,1,12,1000,1.0
124,9,2,1,4,1,12,1600,1.0
125,9,2,3,6,1,12,1000,1.0
126,9,2,4,1,1,12,1000,1.0
127,9,2,7,5,1,12,1000,1.0
128,9,2,8,7,1,12,1000,1.0
129,9,2,9,9,1,12,1000,1.0
130,9,2,11,4,1,12,1000,1.0
131,9,2,12,3,1,12,1000,1.0
132,9,2,13,1,1,12,1000,1.0
133,10,1,1,8,2,10,1600,0.9705882352941176
134,10,1,6,13,2,10,1000,0.9705882352941176
135,10,1,7,6,2,10,1000,0.9705882352941176
136,10,1,8,6,2,10,1000,0.9705882352941176
137,10,1,13,5,2,10,1000,0.9705882352941176
138,10,2,3,6,0,13,1000,0.9558823529411765
139,10,2,5,3,0,13,1000,0.9558823529411765
140,10,2,8,9,0,13,1000,0.9558823529411765
141,10,2,11,9,0,13,1000,0.9558823529411765
142,10,2,12,8,0,13,1000,0.9558823529411765
143,10,2,13,4,0,13,1000,0.9558823529411765
144,10,3,1,4,1,12,1600,1.0
145,10,3,2,10,1,12,1000,1.0
146,10,3,3,1,1,12,1000,1.0
147,10,3,4,10,1,12,1000,1.0
148,10,3,5,3,1,12,1000,1.0
149,10,3,9,7,1,12,1000,1.0
150,10,3,10,5,1,12,1000,1.0
151,11,1,1,4,1,12,1600,1.0
152,11,1,4,9,1,12,1000,1.0
153,11,1,5,7,1,12,1000,1.0
154,11,1,7,4,1,12,1000,1.0
155,11,1,8,4,1,12,1000,1.0
156,11,1,11,6,1,12,1000,1.0
157,11,1,12,6,1,12,1000,1.0
158,11,2,1,4,1,12,1600,1.0
159,11,2,2,10,1,12,1000,1.0
160,11,2,3,7,1,12,1000,1.0
161,11,2,7,5,1,12,1000,1.0
162,11,2,9,5,1,12,1000,1.0
163,11,2,10,9,1,12,1000,1.0
164,11,3,5,13,0,13,1000,0.9558823529411765
165,11,3,6,2,0,13,1000,0.9558823529411765
166,11,3,9,3,0,13,1000,0.9558823529411765
167,11,3,10,7,0,13,1000,0.9558823529411765
168,11,3,13,14,0,13,1000,0.9558823529411765
169,12,1,1,4,1,12,1600,1.0
170,12,1,2,2,1,12,1000,1.0
171,12,1,3,8,1,12,1000,1.0
172,12,1,4,10,1,12,1000,1.0
173,12,1,6,7,1,12,1000,1.0
174,12,1,9,8,1,12,1000,1.0
175,12,1,12,1,1,12,1000,1.0
176,12,2,2,5,0,13,1000,0.9558823529411765
177,12,2,7,7,0,13,1000,0.9558823529411765
178,12,2,8,6,0,13,1000,0.9558823529411765
179,12,2,11,7,0,13,1000,0.9558823529411765
180,12,2,12,14,0,13,1000,0.9558823529411765
181,13,1,1,4,1,12,1600,1.0
182,13,1,8,7,1,12,1000,1.0
183,13,1,11,23,1,12,1000,1.0
184,13,1,12,6,1,12,1000,1.0
185,13,2,1,4,1,12,1600,1.0
186,13,2,4,8,1,12,1000,1.0
187,13,2,5,9,1,12,1000,1.0
188,13,2,7,5,1,12,1000,1.0
189,13,2,10,2,1,12,1000,1.0
190,13,2,12,2,1,12,1000,1.0
191,13,2,13,10,1,12,1000,1.0
192,13,3,2,8,0,13,1000,0.9558823529411765
193,13,3,3,8,0,13,1000,0.9558823529411765
194,13,3,6,9,0,13,1000,0.9558823529411765
195,13,3,7,1,0,13,1000,0.9558823529411765
196,13,3,9,6,0,13,1000,0.9558823529411765
197,13,3,10,7,0,13,1000,0.9558823529411765
198,14,1,1,4,1,12,1600,1.0
199,14,1,2,3,1,12,1000,1.0
200,14,1,4,8,1,12,1000,1.0
201,14,1,6,7,1,12,1000,1.0
202,14,1,8,6,1,12,1000,1.0
203,14,1,10,7,1,12,1000,1.0
204,14,1,13,5,1,12,1000,1.0
205,14,2,1,4,1,12,1600,1.0
206,14,2,2,5,1,12,1000,1.0
207,14,2,3,3,1,12,1000,1.0
208,14,2,5,7,1,12,1000,1.0
209,14,2,6,7,1,12,1000,1.0
210,14,2,7,5,1,12,1000,1.0
211,14,2,9,9,1,12,1000,1.0
212,15,1,1,4,1,12,1600,1.0
213,15,1,7,3,1,12,1000,1.0
214,15,1,8,8,1,12,1000,1.0
215,15,1,9,8,1,12,1000,1.0
216,15,1,10,6,1,12,1000,1.0
217,15,1,11,1,1,12,1000,1.0
218,15,1,12,3,1,12,1000,1.0
219,15,1,13,7,1,12,1000,1.0
220,15,2,1,4,1,12,1600,1.0
221,15,2,2,6,1,12,1000,1.0
222,15,2,3,6,1,12,1000,1.0
223,15,2,4,9,1,12,1000,1.0
224,15,2,5,6,1,12,1000,1.0
225,15,2,7,3,1,12,1000,1.0
226,15,2,10,3,1,12,1000,1.0
227,15,2,12,3,1,12,1000,1.0
228,16,1,1,4,1,12,1600,1.0
229,16,1,3,7,1,12,1000,1.0
230,16,1,4,1,1,12,1000,1.0
231,16,1,5,11,1,12,1000,1.0
232,16,1,7,2,1,12,1000,1.0
233,16,1,13,15,1,12,1000,1.0
234,16,2,4,1,0,13,1000,0.9558823529411765
235,16,2,7,8,0,13,1000,0.9558823529411765
236,16,2,9,6,0,13,1000,0.9558823529411765
237,16,2,10,12,0,13,1000,0.9558823529411765
238,16,2,11,7,0,13,1000,0.9558823529411765
239,16,2,12,5,0,13,1000,0.9558823529411765
240,16,3,1,4,1,12,1600,1.0
241,16,3,2,6,1,12,1000,1.0
242,16,3,3,2,1,12,1000,1.0
243,16,3,4,7,1,12,1000,1.0
244,16,3,5,3,1,12,1000,1.0
245,16,3,6,10,1,12,1000,1.0
246,16,3,8,6,1,12,1000,1.0
247,16,3,9,2,1,12,1000,1.0
248,17,1,1,4,1,12,1600,1.0
249,17,1,2,6,1,12,1000,1.0
250,17,1,3,3,1,12,1000,1.0
251,17,1,5,1,1,12,1000,1.0
252,17,1,6,6,1,12,1000,1.0
253,17,1,8,7,1,12,1000,1.0
254,17,1,10,3,1,12,1000,1.0
255,17,1,11,7,1,12,1000,1.0
256,17,1,12,2,1,12,1000,1.0
257,17,1,13,1,1,12,1000,1.0
258,17,2,1,4,1,12,1600,1.0
259,17,2,3,3,1,12,1000,1.0
260,17,2,4,8,1,12,1000,1.0
261,17,2,6,2,1,12,1000,1.0
262,17,2,7,6,1,12,1000,1.0
263,17,2,9,11,1,12,1000,1.0
264,17,2,12,6,1,12,1000,1.0
265,18,1,1,4,1,12,1600,1.0
266,18,1,3,10,1,12,1000,1.0
267,18,1,5,7,1,12,1000,1.0
268,18,1,7,3,1,12,1000,1.0
269,18,1,9,7,1,12,1000,1.0
270,18,1,10,9,1,12,1000,1.0
271,18,2,1,4,1,12,1600,1.0
272,18,2,2,7,1,12,1000,1.0
273,18,2,4,4,1,12,1000,1.0
274,18,2,7,7,1,12,1000,1.0
275,18,2,10,2,1,12,1000,1.0
276,18,2,11,8,1,12,1000,1.0
277,18,2,12,7,1,12,1000,1.0
278,18,2,13,1,1,12,1000,1.0
279,18,3,1,4,1,12,1600,1.0
280,18,3,4,5,1,12,1000,1.0
281,18,3,5,5,1,12,1000,1.0
282,18,3,6,15,1,12,1000,1.0
283,18,3,8,5,1,12,1000,1.0
284,18,3,13,6,1,12,1000,1.0
285,19,1,7,6,0,13,1000,0.9558823529411765
286,19,1,9,10,0,13,1000,0.9558823529411765
287,19,1,10,6,0,13,1000,0.9558823529411765
288,19,1,11,7,0,13,1000,0.9558823529411765
289,19,1,13,10,0,13,1000,0.9558823529411765
290,19,2,1,4,1,12,1600,1.0
291,19,2,2,6,1,12,1000,1.0
292,19,2,3,4,1,12,1000,1.0
293,19,2,4,8,1,12,1000,1.0
294,19,2,5,2,1,12,1000,1.0
295,19,2,6,3,1,12,1000,1.0
296,19,2,8,6,1,12,1000,1.0
297,19,2,12,7,1,12,1000,1.0
